latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-2.17832,-80.04285,308.01,0.45,0.39,2024-02-06,632,N,VIIRS,n,2,289.97,1.43,N,2
-2.10387,-79.76435,348.72,0.5,0.49,2024-02-06,1912,N,VIIRS,n,2,291.74,7.24,D,0
-2.0781,-79.96794,304.58,0.45,0.39,2024-02-22,632,N,VIIRS,n,2,288.15,0.67,N,0
-1.94947,-79.98122,331.9,0.47,0.4,2024-03-15,1859,N,VIIRS,n,2,292.29,3.37,D,0
-2.17755,-80.04092,305.41,0.45,0.39,2024-03-25,632,N,VIIRS,n,2,291.99,0.9,N,2
-2.31532,-80.02419,339.49,0.41,0.37,2024-03-26,1853,N,VIIRS,n,2,300.41,4.75,D,0
-2.28909,-80.05802,345.08,0.4,0.37,2024-03-26,1853,N,VIIRS,n,2,295.62,13.55,D,0
-1.90522,-79.96318,340.86,0.41,0.37,2024-03-26,1853,N,VIIRS,n,2,298.21,5.23,D,0
-1.88221,-80.01934,330.72,0.41,0.37,2024-03-26,1853,N,VIIRS,n,2,295.13,2.54,D,0
-2.28731,-80.06271,337.1,0.61,0.53,2024-03-28,1815,N,VIIRS,n,2,294.05,9.01,D,0
-2.0781,-79.9678,304.84,0.48,0.4,2024-03-29,657,N,VIIRS,n,2,291.4,0.49,N,0
-2.1786,-80.04076,314.79,0.4,0.37,2024-03-30,638,N,VIIRS,n,2,292.84,1.22,N,2
-2.07872,-79.96647,307.54,0.41,0.37,2024-04-09,651,N,VIIRS,n,2,289.21,0.65,N,0
-1.89982,-79.9773,331.26,0.41,0.37,2024-04-11,1853,N,VIIRS,n,2,297.51,2.57,D,0
-2.17812,-80.04246,303.56,0.38,0.36,2024-04-20,645,N,VIIRS,n,2,288.92,0.73,N,2
-2.07908,-79.96545,305.31,0.45,0.39,2024-04-26,632,N,VIIRS,n,2,288.98,0.88,N,0
-2.07861,-79.96738,303.03,0.4,0.37,2024-05-01,638,N,VIIRS,n,2,290.24,0.43,N,0
-2.05302,-79.78484,348.27,0.39,0.37,2024-05-03,1840,N,VIIRS,n,2,296.64,6.81,D,0
-1.87977,-80.02304,339.51,0.4,0.37,2024-05-03,1840,N,VIIRS,n,2,295.46,3.88,D,0
-2.22105,-79.78469,338.6,0.4,0.37,2024-05-03,1840,N,VIIRS,n,2,293.5,3.87,D,0
-2.17698,-80.04058,312.77,0.38,0.36,2024-05-06,645,N,VIIRS,n,2,290.68,1.15,N,2
-2.17694,-80.04166,303.63,0.41,0.37,2024-05-11,651,N,VIIRS,n,2,287.21,0.86,N,2
-2.01002,-79.79976,349.17,0.38,0.36,2024-05-24,1846,N,VIIRS,n,2,297.95,9.19,D,0
-1.89687,-80.01181,344.49,0.38,0.36,2024-05-24,1846,N,VIIRS,n,2,293.74,7.2,D,0
-1.90019,-80.01131,351.09,0.38,0.36,2024-05-24,1846,N,VIIRS,n,2,298.39,16.32,D,0
-1.91871,-80.04381,332.44,0.38,0.36,2024-05-24,1846,N,VIIRS,n,2,297.06,1.8,D,0
-2.0067,-79.80025,340.89,0.38,0.36,2024-05-24,1846,N,VIIRS,n,2,294.11,9.24,D,0
-2.01335,-79.79926,348.1,0.38,0.36,2024-05-24,1846,N,VIIRS,n,2,294.72,9.19,D,0
-1.87947,-80.02926,331.7,0.38,0.36,2024-05-24,1846,N,VIIRS,n,2,295.9,2.48,D,0
-1.89721,-80.03645,338.49,0.38,0.36,2024-05-24,1846,N,VIIRS,n,2,296.16,4.26,D,0
-2.07819,-79.96397,301.53,0.41,0.37,2024-05-27,650,N,VIIRS,n,2,289.54,0.6,N,0
-2.08758,-79.77721,326.74,0.78,0.78,2024-05-27,1750,N,VIIRS,n,2,284.37,5.64,D,0
-2.10624,-79.78669,330.02,0.41,0.37,2024-05-29,1852,N,VIIRS,n,2,290.6,3.21,D,0
-1.98446,-79.76731,334.54,0.41,0.37,2024-05-29,1852,N,VIIRS,n,2,294.76,3.53,D,0
-1.85178,-80.01789,332.8,0.41,0.37,2024-05-29,1853,N,VIIRS,n,2,294.84,6.69,D,0
-1.89835,-80.04836,333.97,0.41,0.37,2024-05-29,1853,N,VIIRS,n,2,296.65,4.74,D,0
-1.89779,-80.04472,341.49,0.41,0.37,2024-05-29,1853,N,VIIRS,n,2,297.91,8.53,D,0
-1.88612,-79.94524,332.82,0.41,0.37,2024-05-29,1853,N,VIIRS,n,2,295.21,2.0,D,0
-1.90524,-80.02492,336.52,0.41,0.37,2024-05-29,1853,N,VIIRS,n,2,295.68,4.23,D,0
-1.90643,-80.00977,331.11,0.41,0.37,2024-05-29,1853,N,VIIRS,n,2,295.42,1.04,D,0
-1.91111,-79.97158,347.94,0.41,0.37,2024-05-29,1853,N,VIIRS,n,2,294.96,6.19,D,0
-2.09696,-79.76306,326.51,0.4,0.37,2024-06-04,1840,N,VIIRS,n,2,283.27,2.26,D,0
-1.97652,-79.91255,331.99,0.4,0.37,2024-06-04,1840,N,VIIRS,n,2,289.97,1.33,D,0
-2.17657,-80.04218,307.72,0.38,0.36,2024-06-07,644,N,VIIRS,n,2,289.97,0.95,N,2
-1.9176,-80.02432,332.84,0.38,0.36,2024-06-09,1846,N,VIIRS,n,2,296.69,0.98,D,0
-2.03551,-79.84078,338.06,0.38,0.36,2024-06-09,1846,N,VIIRS,n,2,298.4,14.77,D,0
-2.34726,-80.09493,334.21,0.38,0.36,2024-06-09,1846,N,VIIRS,n,2,298.36,3.12,D,0
-1.9239,-80.02866,346.82,0.56,0.43,2024-06-10,1827,N,VIIRS,n,2,296.39,14.76,D,0
-2.09232,-79.76794,336.06,0.55,0.43,2024-06-10,1827,N,VIIRS,n,2,291.69,5.89,D,0
-1.92986,-80.09561,336.33,0.57,0.43,2024-06-10,1827,N,VIIRS,n,2,294.52,8.08,D,0
-2.1758,-80.04197,302.64,0.41,0.37,2024-06-12,650,N,VIIRS,n,2,287.94,0.84,N,2
-1.86553,-80.01681,334.97,0.4,0.37,2024-06-14,1852,N,VIIRS,n,2,292.23,4.5,D,0
-1.86498,-80.01317,334.16,0.4,0.37,2024-06-14,1852,N,VIIRS,n,2,291.08,4.5,D,0
-1.89979,-80.08218,335.98,0.4,0.37,2024-06-14,1852,N,VIIRS,n,2,290.28,4.3,D,0
-2.00452,-79.7783,345.08,0.63,0.54,2024-06-18,1917,N,VIIRS,n,2,292.44,10.48,D,0
-2.09245,-79.75217,340.16,0.63,0.54,2024-06-18,1917,N,VIIRS,n,2,291.9,9.65,D,0
-1.86855,-80.01755,330.13,0.61,0.53,2024-06-18,1917,N,VIIRS,n,2,291.59,7.24,D,0
-2.27886,-80.0493,341.07,0.46,0.39,2024-06-19,1858,N,VIIRS,n,2,297.78,5.33,D,0
-2.04843,-79.78777,337.09,0.47,0.4,2024-06-19,1858,N,VIIRS,n,2,296.66,8.28,D,0
-1.99845,-79.75603,340.24,0.48,0.4,2024-06-19,1858,N,VIIRS,n,2,297.18,6.78,D,0
-1.94911,-79.99107,330.3,0.46,0.39,2024-06-19,1858,N,VIIRS,n,2,297.47,2.71,D,0
-1.92993,-80.01103,334.89,0.46,0.39,2024-06-19,1858,N,VIIRS,n,2,297.51,7.51,D,0
-1.88953,-80.0771,331.16,0.41,0.37,2024-06-20,1839,N,VIIRS,n,2,297.92,1.2,D,0
-1.8596,-80.04057,344.62,0.41,0.37,2024-06-20,1839,N,VIIRS,n,2,301.65,20.28,D,0
-1.87411,-79.97526,340.78,0.4,0.37,2024-06-20,1839,N,VIIRS,n,2,299.38,4.52,D,0
-1.87751,-79.97475,337.06,0.4,0.37,2024-06-20,1839,N,VIIRS,n,2,297.74,4.52,D,0
-1.90309,-80.09749,330.17,0.41,0.37,2024-06-20,1839,N,VIIRS,n,2,299.13,2.47,D,0
-1.91278,-80.09232,348.71,0.41,0.37,2024-06-20,1839,N,VIIRS,n,2,298.82,7.33,D,0
-1.93747,-80.0703,333.99,0.41,0.37,2024-06-20,1839,N,VIIRS,n,2,297.75,1.67,D,0
-2.14826,-79.91911,335.96,0.4,0.37,2024-06-20,1839,N,VIIRS,n,2,297.97,1.12,D,0
-1.94173,-79.97509,329.29,0.5,0.66,2024-06-22,1802,N,VIIRS,n,2,288.62,9.4,D,0
-1.94301,-79.98085,329.14,0.5,0.66,2024-06-22,1802,N,VIIRS,n,2,288.05,7.55,D,0
-1.94233,-79.97624,354.05,0.5,0.66,2024-06-22,1802,N,VIIRS,n,2,289.14,11.48,D,0
-1.91048,-79.97483,330.05,0.5,0.66,2024-06-22,1802,N,VIIRS,n,2,289.05,2.27,D,0
-1.94244,-79.97968,350.06,0.5,0.66,2024-06-22,1802,N,VIIRS,n,2,288.47,8.27,D,0
-2.1779,-80.0406,305.13,0.38,0.36,2024-06-23,644,N,VIIRS,n,2,287.63,0.75,N,2
